"Qty";"Value";"Device";"Package";"Parts";"Description";"DESIGNER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"VERSION";
"2";"104";"CAP0603-CAP";"0603-CAP";"C1, C3";"Capacitor";"";"";"";"";"";"";
"2";"10K";"RESISTOR0603";"0603-RES";"R9, R10";"Resistor";"";"";"";"";"";"";
"1";"120";"RESISTOR0603";"0603-RES";"R13";"Resistor";"";"";"";"";"";"";
"1";"180";"RESISTOR0603";"0603-RES";"R18";"Resistor";"";"";"";"";"";"";
"4";"1K";"RESISTOR0603";"0603-RES";"R6, R11, R12, R16";"Resistor";"";"";"";"";"";"";
"1";"270";"RESISTOR0603";"0603-RES";"R14";"Resistor";"";"";"";"";"";"";
"1";"273";"CAP0603-CAP";"0603-CAP";"C2";"Capacitor";"";"";"";"";"";"";
"1";"33K";"RESISTOR0603";"0603-RES";"R15";"Resistor";"";"";"";"";"";"";
"1";"5.1K";"RESISTOR0603";"0603-RES";"R17";"Resistor";"";"";"";"";"";"";
"2";"510";"RESISTOR0603";"0603-RES";"R7, R8";"Resistor";"";"";"";"";"";"";
"5";"680";"RESISTOR0603";"0603-RES";"R1, R2, R3, R4, R5";"Resistor";"";"";"";"";"";"";
"1";"BATT_2POS_VERT";"BATT_2POS_VERT";"BATTCONN_20MM_VERT";"U$2";"";"";"";"";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame";"Nobody";"";"";"";"";"v01";
"1";"FSA3357K8X";"FSA3357K8X";"2.3MM_8PIN";"S2";"SPTT analog switch";"";"";"";"";"";"";
"1";"GRN";"LED0603";"LED-0603";"PWR";"LEDs";"";"";"";"";"";"";
"1";"MAX4525";"MAX4525";"3MM_10PIN";"S1";"DPDT analog switch";"";"";"";"";"";"";
"1";"MAX481CSA";"MAX481CSA";"SO08";"IC1";"RS485 TRANSEIVER";"";"MAXIM";"MAX481CSA";"unknown";"90C3817";"";
"1";"MB85RS256BPNFSOIC";"MB85RS256BPNFSOIC";"SO08";"MEM1";"";"";"";"";"";"";"";
"3";"MOSFET-N2N7002";"MOSFET-N2N7002";"SOT23-3";"Q1, Q2, Q3";"";"";"";"";"";"";"";
"1";"NC7SB3157P6X";"NC7SB3157P6X";"1.25MM_6PIN";"S3";"SPDT analog switch, B0 is NC";"";"";"";"";"";"";
"1";"R-78-E5.0";"R-78-E5.0";"R-78-EXX";"VR2";"";"";"";"";"";"";"";
"3";"RED";"LED0603";"LED-0603";"BATT, RTCB, SDB";"LEDs";"";"";"";"";"";"";
"1";"TEENSY_31_OUTER_THIN";"TEENSY_31_OUTER_THIN";"TEENSY-3.1_OUTER_THIN";"JP1";"";"";"";"";"";"";"";
"2";"TERMBLK_3PINNOSILK";"TERMBLK_3PINNOSILK";"TERMBLK_3PIN_90_NOSILK";"485, POWER";"";"";"";"";"";"";"";
"1";"UPENN_SHIELD_.3_SILK";"UPENN_SHIELD_.3_SILK";"UPENN_SHIELD_3_SILK";"U$4";"";"";"";"";"";"";"";
"1";"WIZ820IO_THIN";"WIZ820IO_THIN";"WIZ820IO_THIN";"ETH1";"";"";"";"";"";"";"";
"1";"WIZ820_SHLD_OVRLY";"WIZ820_SHLD_OVRLY";"WIZ820_SHLD_OVERLAY";"U$1";"";"";"";"";"";"";"";
"4";"YLW";"LED0603";"LED-0603";"EPW, RX, SDW, TX";"LEDs";"";"";"";"";"";"";
